Id,Type,Discipline,AmountCatecory,InstitutionType,FundingInstrument,Count
91d479765a5442989b9caf7571c2d515,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,ETH Domain,Careers,1
d870e2bc9db741a9b003251854c3e502,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,ETH Domain,Infrastructure,5
08e92285195540d0936bbfe53b39743c,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,ETH Domain,Project funding,3
08daa3a8c8834faa9b96cd197c16d5d5,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,ETH Domain,Science communication,17
ebc77ad63ff7450bb9daacb8f8145078,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,Other,Science communication,7
a56b5b6b45354630931608ed47a18f50,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,UAS / UTE,Programmes,1
2240fe36f4114eacac35a0e42c83de5c,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,UAS / UTE,Science communication,41
cf764c28b21447b0835575edb4bc21e8,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,University,Careers,6
0c89050db37e444d8dd689878b439e6a,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,University,Infrastructure,1
e5f32ede7c4a420c82c504a7cba14458,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,University,Programmes,8
60f413bad6dc4db28724f303c3de170b,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,University,Project funding,32
6bc97757452140acb1a53f0f95c85f62,"Media relations: print media, online media",Biology and Medicine,1 - 200'000,University,Science communication,51
bf6c1d23208f44b89a7bc2b0b87b20a5,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,ETH Domain,Careers,2
dcfeb6c28a6d49a48f55fb6c7f620b0a,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,ETH Domain,Infrastructure,1
79e0ff1c86974b3186c28e333182666d,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,ETH Domain,Programmes,26
97930ed774db4c5a945b21d8225aafe7,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,ETH Domain,Project funding,44
a6d87db84c44466cae7f48c52943c722,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,Other,Careers,3
8c242806b8294f9bbe11709012163655,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,Other,Programmes,4
0d30206dec604af4869a063b67306420,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,Other,Project funding,24
601df321c61647e49fb173d17add2135,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,UAS / UTE,Programmes,2
e014b93912d048cc857f062af6960d7b,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,UAS / UTE,Project funding,6
b0bb1862f42243d7b9e40e09e509a268,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,UAS / UTE,Science communication,2
4b255bdc47a649faa7d6a1d9fcf2e3d9,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,University,Careers,17
c31eb81bbcb9421d8dee1e47720f7dc9,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,University,Infrastructure,3
688051c037eb480892099d6bd4ca9442,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,University,Programmes,43
2ecb4c661a954f13b6b10265ac5a499f,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,University,Project funding,216
ebe2fe45753e48ec8f2a7dd14bbbeeb0,"Media relations: print media, online media",Biology and Medicine,200'000 - 400'000,University,Science communication,54
ce2f038c015746e6b98ea76d31675ae5,"Media relations: print media, online media",Biology and Medicine,400'000 - 600'000,ETH Domain,Careers,5
0771f40ea27242e795d5ad608f6d6c1d,"Media relations: print media, online media",Biology and Medicine,400'000 - 600'000,ETH Domain,Programmes,3
9288760d64bd4922ac1c74ce56af7608,"Media relations: print media, online media",Biology and Medicine,400'000 - 600'000,ETH Domain,Project funding,17
4cfaadea2fe64064959b1a69953ea293,"Media relations: print media, online media",Biology and Medicine,400'000 - 600'000,Other,Programmes,4
