Id,Type,Year,Discipline,Count
eb682c7f83da4fa8badd1d272c5d2301,"Media relations: print media, online media",2014,Basic Biological Research,56
e57790fb9d42467997134fb76ef419c4,"Media relations: print media, online media",2014,Basic Medical Sciences,49
3a65179cef2f44e6ad066e36dcabdad2,"Media relations: print media, online media",2014,Clinical Medicine,27
46aebfe2a83d4b5a9867760b5fe56370,"Media relations: print media, online media",2014,Experimental Medicine,27
6c995bed3df14a6380fec7c55e588b67,"Media relations: print media, online media",2014,General Biology,68
f5742a4f9abe46a08a532624e6958063,"Media relations: print media, online media",2014,Preventive Medicine (Epidemiology/Early Diagnosis/Prevention),13
c9fa6a52c4c145f69e71921ab23dffa4,"Media relations: print media, online media",2014,Social Medicine,10
b90c2a8edf204116bdbefe044620fe36,"Media relations: print media, online media",2014,"Art studies, musicology, theatre and film studies, architecture",98
5c4f54ea8fe84f13951a0059d2178fbf,"Media relations: print media, online media",2014,"Economics, law",41
9ac85d2a4804487dad2513aa601ac638,"Media relations: print media, online media",2014,"Ethnology, social and human geography",42
4907a7373ad14a8ab34de93235287daf,"Media relations: print media, online media",2014,"Linguistics and literature, philosophy",61
b3263511da6a4788a29f42effa9c3808,"Media relations: print media, online media",2014,"Psychology, educational studies",93
db0f1ba58d124a589e607a64d6f0c698,"Media relations: print media, online media",2014,"Sociology, social work, political sciences, media and communication studies, health",106
b85406f64a004dd3864162502173edc7,"Media relations: print media, online media",2014,"Theology & religious studies, history, classical studies, archaeology, prehistory and early history",102
7dbe22f5948d420d97c80ad79929f1bd,"Media relations: print media, online media",2014,Chemistry,27
e79c4a5712d3449199bf8bbee45d6146,"Media relations: print media, online media",2014,Earth Sciences,13
35bf0147ddfd4bd2a92c8237825d012d,"Media relations: print media, online media",2014,Engineering Sciences,65
30191a19a9a04fb1b5f89f591152da04,"Media relations: print media, online media",2014,Environmental Sciences,70
3cf4661c80ea492197d82743a45042f6,"Media relations: print media, online media",2014,Physics,34
035edb1811424e9495ce709792f94453,"Media relations: print media, online media",2015,Basic Biological Research,51
5d477b8b821943aaa7a0ef7f91d2bbd5,"Media relations: print media, online media",2015,Basic Medical Sciences,44
08ad5f1704c248a9aaf660bf700c84a9,"Media relations: print media, online media",2015,Clinical Medicine,45
dac421b704e94527b48a56c266fa862d,"Media relations: print media, online media",2015,Experimental Medicine,16
246c236bef8d4fa89e0904619d7b1a6c,"Media relations: print media, online media",2015,General Biology,106
b0a81654420946079d86d6756f613c53,"Media relations: print media, online media",2015,Preventive Medicine (Epidemiology/Early Diagnosis/Prevention),18
96b1a7167e1646e9ac562c81ad617edd,"Media relations: print media, online media",2015,Social Medicine,3
5bf9a995afdc4a83a38fb017177b85c7,"Media relations: print media, online media",2015,"Art studies, musicology, theatre and film studies, architecture",93
