Number;ResearchInstitution;ResearchInstitution_De;ResearchInstitution_Fr;ResearchInstitutionAbbr;TypeSortNumber;Type;Type_De;Type_Fr;IsActive;Proposition For You
400006;University of Lausanne - LA;Universität Lausanne - LA;Université de Lausanne - LA;LA;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400014;University of Berne - BE;Universität Bern - BE;Université de Berne - BE;BE;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400015;University of Zurich - ZH;Universität Zürich - ZH;Université de Zurich - ZH;ZH;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400056;University of Lucerne - LU;Universität Luzern - LU;Université de Lucerne - LU;LU;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400094;University of Fribourg - FR;Universität Freiburg - FR;Université de Fribourg - FR;FR;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400095;University of St.Gallen - SG;Universität St.Gallen - SG;Université de Saint-Gall - SG;SG;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400121;University of Neuchatel - NE;Universität Neuenburg - NE;Université de Neuchâtel - NE;NE;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400131;University of Basel - BS;Universität Basel - BS;Université de Bâle - BS;BS;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400171;University of Geneva - GE;Universität Genf - GE;Université de Genève - GE;GE;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400185;Università della Svizzera italiana - USI;Università della Svizzera italiana - USI;Università della Svizzera italiana - USI;USI;10;Cantonal university;Kantonale Universität;Université cantonale;1;University
400194;Federal research institutions - EFA;Eidg. Forschungsanstalten - EFA;Stations fédérales de recherches - EFA;EFA;20;ETH Domain;ETH-Bereich;Domaine EPF;0;ETH Domain
400203;Swiss Federal Institute of Aquatic Science and Technology - EAWAG;Eidg. Anstalt für Wasserversorgung, Abwasserreinigung und Gewässerschutz - EAWAG;Institut fédéral pour l'aménagement, l'épuration et la protection des eaux Eawag - EAWAG;EAWAG;20;ETH Domain;ETH-Bereich;Domaine EPF;1;ETH Domain
400204;Swiss Federal Laboratories for Materials Science and Technology - EMPA;Eidg. Materialprüfungs- und Forschungsanstalt - EMPA;Laboratoire fédéral d’essai des matériaux et de recherche - EMPA;EMPA;20;ETH Domain;ETH-Bereich;Domaine EPF;1;ETH Domain
400069;EPF Lausanne - EPFL;EPF Lausanne - EPFL;EPF Lausanne - EPFL;EPFL;20;ETH Domain;ETH-Bereich;Domaine EPF;1;ETH Domain
